area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Super built-up  Area,21-Dec,2 BHK,Jangali Maharaj Road,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,,1070,2,1,45.5
Super built-up  Area,Ready To Move,3 BHK,Karve Nagar,Dieldli,1724,3,2,125
Super built-up  Area,Ready To Move,3 BHK,Karve Road,,1290,2,2,56.12
Built-up  Area,Ready To Move,2 BHK,Kasba Peth,,1143,2,2,45
Built-up  Area,Ready To Move,2 BHK,Katraj,Gentson,1296,2,,81
Super built-up  Area,19-Dec,3 BHK,Khadaki,Soini T,1254,3,2,38
Super built-up  Area,Ready To Move,1 BHK,Khadki,Ceove G,600,1,0,38
Plot  Area,Ready To Move,1 Bedroom,Kharadi,,660,1,0,48
Super built-up  Area,19-Sep,2 BHK,Kondhwa,Soazak ,1330.74,2,2,91.79
Plot  Area,Ready To Move,8 Bedroom,Kondhwa Budruk,,600,9,,200
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Khurd,LancyRe,970,2,0,33
Super built-up  Area,20-Sep,2 BHK,Koregaon Park,Goted U,1459,2,1,94.82
Plot  Area,Ready To Move,2 Bedroom,Kothrud,,800,1,1,130
Built-up  Area,Ready To Move,2 BHK,Law College Road,,869,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Laxmi Road,Bhncyis,1270,2,1,50
Super built-up  Area,18-Mar,3 BHK,Lulla Nagar,Rosha I,1670,3,1,99
Built-up  Area,Ready To Move,3 BHK,Mahatma Gandhi Road,Suent V,2010,3,2,91
Super built-up  Area,Ready To Move,2 BHK,Mangalwar peth,RothaVa,1185,2,2,75
Super built-up  Area,Ready To Move,3 BHK,Manik Bagh,NCowsar,1600,2,3,75
Super built-up  Area,Ready To Move,2 BHK,Market yard,Dhalsh ,1200,2,2,44
Built-up  Area,20-Feb,4 Bedroom,Model colony,BrereAt,3010 - 3410,,,192
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,PeBayle,1500,2,2,185
Plot  Area,Ready To Move,6 Bedroom,Mundhawa,,1407,4,1,150
Super built-up  Area,Ready To Move,2 BHK,Nagar Road,,840,2,2,45
Plot  Area,Ready To Move,3 Bedroom,Nana Peth,,4395,3,2,240
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,Laavevi,845,2,1,55
Plot  Area,Ready To Move,4 Bedroom,Narayangaon,Chranya,5700,5,3,650
Built-up  Area,Ready To Move,2 BHK,Navi Peth,HioraTr,1160,2,2,44
Built-up  Area,Ready To Move,8 Bedroom,Padmavati,,3000,8,0,140
Super built-up  Area,Ready To Move,2 BHK,Parvati Darshan,,1100,2,1,62
Super built-up  Area,18-Apr,2 BHK,Pashan,BMineis,1140,2,3,43
Super built-up  Area,Ready To Move,2 BHK,Paud Road,,1220,2,1,57
Plot  Area,Ready To Move,8 Bedroom,Pirangut,,1350,7,0,85
Super built-up  Area,Ready To Move,2 BHK,Prabhat Road,,1005,2,1,36.68
Plot  Area,Ready To Move,3 Bedroom,Pune Railway Station,,500,3,2,100
Super built-up  Area,20-Aug,2 BHK,Rasta Peth,Pruthg ,1358,2,1,80.58
Super built-up  Area,Ready To Move,3 BHK,Raviwar Peth,Sonosty,1569,3,1,101
Super built-up  Area,18-Apr,2 BHK,Sadashiv Peth,SNnia E,1240,2,1,70
Super built-up  Area,Ready To Move,3 BHK,Sahakar Nagar,Anavi B,2089,3,2,140
Super built-up  Area,Ready To Move,2 BHK,Salunke Vihar,,1206,2,1,48.23
Super built-up  Area,Ready To Move,2 BHK,Sasson Road,,1150,2,3,40
Built-up  Area,Ready To Move,3 BHK,Satara Road,Viony H,2511,3,3,205
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,460,1,0,22
Built-up  Area,Ready To Move,6 Bedroom,Shaniwar Peth,,4400,6,3,250
Super built-up  Area,Ready To Move,3 BHK,Shivaji Nagar,AdentEl,1660,2,2,105
Built-up  Area,18-Oct,4 Bedroom,Shukrawar Peth,Gollela,2957 - 3450,,,224.5
Super built-up  Area,19-Mar,2 BHK,Sinhagad Road,Niareum,1326,2,2,78
Super built-up  Area,Ready To Move,3 BHK,Somwar Peth,,1325,2,2,60.8
Super built-up  Area,Ready To Move,3 BHK,Swargate,SJlynro,1499,5,2,102
Built-up  Area,Ready To Move,6 Bedroom,Tilak Road,,3000,7,2,210
Super built-up  Area,Ready To Move,3 BHK,Uruli Devachi,,1665,3,2,88
Super built-up  Area,17-Sep,2 BHK,Vadgaon Budruk,Tavenew,708,2,2,37
Super built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,Srire S,1060,2,2,58.06
Plot  Area,Ready To Move,6 Bedroom,Viman Nagar,,710,6,3,160
Built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,Saenti ,1000,2,2,70
Super built-up  Area,18-Dec,2 BHK,Wagholi,,1000,2,1,28.88
Super built-up  Area,Ready To Move,3 BHK,Wakadewadi,,1450,2,2,70
Plot  Area,Ready To Move,4 Bedroom,Wanowrie,,1200,4,2,155
Super built-up  Area,17-Aug,2 BHK,Warje,Bhmesy ,1296,2,3,80
Super built-up  Area,Ready To Move,3 BHK,Yerawada,,1540,3,2,90
Plot  Area,Ready To Move,4 Bedroom,Alandi Road,Goardth,2894,4,1,245
Super built-up  Area,Ready To Move,3 BHK,Ambegaon Budruk,,1330,2,1,48
Built-up  Area,Ready To Move,2 BHK,Anandnagar,,1200,2,1,65
Built-up  Area,Ready To Move,3 Bedroom,Aundh,,1200,3,1,90
Super built-up  Area,Ready To Move,3 BHK,Aundh Road,IBityin,2502,3,3,138
Built-up  Area,Ready To Move,2 BHK,Balaji Nagar,KHityry,650,1,1,17
Plot  Area,Ready To Move,3 Bedroom,Baner,BDensar,2400,2,1,150
Super built-up  Area,Ready To Move,2 BHK,Baner road,Makeser,1007,2,2,43
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,Maest N,1200,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,966,2,2,49.9
Built-up  Area,Ready To Move,3 BHK,Bibvewadi,,1630,2,1,98
Built-up  Area,Ready To Move,3 BHK,Bopodi,Brway G,1640,3,2,229
Built-up  Area,Ready To Move,2 BHK,Budhwar Peth,,782,2,2,55.68
Super built-up  Area,19-Apr,2 BHK,Bund Garden Road,Oznuean,1260,2,2,66.78
Super built-up  Area,Ready To Move,3 BHK,Camp,,1800,3,3,120
Super built-up  Area,Ready To Move,3 BHK,Chandan Nagar,Reeroce,1413,2,2,75
Super built-up  Area,Ready To Move,2 BHK,Dapodi,Sonviik,1116,2,1,51.91
Super built-up  Area,Ready To Move,3 BHK,Deccan Gymkhana,DSgmax ,1530,2,1,45.9
Built-up  Area,Ready To Move,4 Bedroom,Dehu Road,,3700,4,1,225
Built-up  Area,Ready To Move,3 Bedroom,Dhankawadi,Cetattu,2497,3,2,140
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,Vaens G,1540,2,3,64
Super built-up  Area,18-Dec,3 BHK,Dhole Patil Road,,1436,3,1,74.75
Super built-up  Area,18-Jun,2 BHK,Erandwane,,1100,2,2,75
Plot  Area,Ready To Move,2 Bedroom,Fatima Nagar,,276,3,3,23
Super built-up  Area,Ready To Move,3 BHK,Fergusson College Road,Moity S,1427,3,2,120
Super built-up  Area,Ready To Move,3 BHK,Ganesh Peth,HiahsLa,2061,3,1,200
Super built-up  Area,18-Mar,4 BHK,Ganeshkhind,SNontle,3067 - 8156,4,0,477
Built-up  Area,Ready To Move,4 BHK,Ghorpade Peth,,2650,4,2,150
Super built-up  Area,22-Dec,3 BHK,Ghorpadi,Sabixtt,1282,2,2,68.52
Built-up  Area,Ready To Move,2 BHK,Gokhale Nagar,,1050,2,1,34
Built-up  Area,Ready To Move,3 BHK,Gultekdi,Sragei ,1600,3,2,65
Super built-up  Area,22-Jan,2 BHK,Guruwar peth,,945,2,1,54
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,SyidaCr,1500,2,1,78
Plot  Area,Ready To Move,7 Bedroom,Hadapsar Industrial Estate,,950,7,0,115
Built-up  Area,Ready To Move,3 BHK,Hingne Khurd,Jahts H,1870,3,3,110
Plot  Area,Ready To Move,3 Bedroom,Jangali Maharaj Road,Inensba,1600,3,1,75
Super built-up  Area,Ready To Move,2 BHK,Kalyani Nagar,Itelaa ,880,1,1,16.5
Plot  Area,Ready To Move,4 Bedroom,Karve Nagar,,1200,4,0,210
Super built-up  Area,Ready To Move,3 BHK,Karve Road,Srier P,1535,3,2,83
Built-up  Area,Ready To Move,2 BHK,Kasba Peth,Wiowsri,950,2,1,57
Super built-up  Area,18-Aug,2 BHK,Katraj,Derdsig,1360,2,1,65
Super built-up  Area,19-Mar,2 BHK,Khadaki,Vaarech,1042 - 1105,2,0,54.005
Super built-up  Area,18-May,3 BHK,Khadki,,1280,3,1,50.4
Super built-up  Area,19-Jan,3 BHK,Kharadi,TiaksAa,1260,2,2,85.05
Built-up  Area,Ready To Move,8 Bedroom,Kondhwa,,5000,8,,250
Super built-up  Area,19-Dec,5 BHK,Kondhwa Budruk,LedorSa,3050,5,1,213
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,HMwerCo,1563.05,3,1,105
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,,1000,2,1,60
Super built-up  Area,17-Jul,2 BHK,Kothrud,ViensRK,1167,2,1,43.76
Super built-up  Area,Ready To Move,7 BHK,Law College Road,,4000,7,2,225
Super built-up  Area,Ready To Move,3 BHK,Laxmi Road,Somumys,1828,3,,110
Super built-up  Area,Ready To Move,2 BHK,Lulla Nagar,HoiewLa,890,2,1,35
Super built-up  Area,Ready To Move,3 BHK,Mahatma Gandhi Road,Dwity T,1612,3,3,46.74
Plot  Area,Ready To Move,6 Bedroom,Mangalwar peth,,1034,5,,185
Super built-up  Area,19-Apr,3 BHK,Manik Bagh,Brama P,1710,4,2,91.31
Super built-up  Area,Ready To Move,2 BHK,Market yard,VBownre,957,2,1,58
Super built-up  Area,18-May,3 BHK,Model colony,,1250,2,3,44
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,Betatsi,2795,4,,235
Super built-up  Area,Ready To Move,2 BHK,Mundhawa,Prcan P,1125,2,2,50
Super built-up  Area,18-Jul,2 BHK,Nagar Road,Sryalan,1020,2,1,30.6
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,,1200,2,2,50
Super built-up  Area,Ready To Move,3 BHK,Narayan Peth,Soitya ,1735,3,3,135
Super built-up  Area,Ready To Move,3 BHK,Narayangaon,G conTh,2050,3,1,145
Plot  Area,Ready To Move,4 Bedroom,Navi Peth,,3750,4,0,760
Built-up  Area,Ready To Move,3 BHK,Padmavati,,1350,2,3,48
Super built-up  Area,18-May,2 BHK,Parvati Darshan,SStusan,1063,2,1,32
Super built-up  Area,Ready To Move,3 BHK,Pashan,ETens G,1904,3,1,150
Built-up  Area,Ready To Move,4 Bedroom,Paud Road,,4200,4,2,420
Super built-up  Area,Ready To Move,3 BHK,Pirangut,Hohnari,2000,3,1,175
Super built-up  Area,18-Dec,2 BHK,Prabhat Road,Kinuerg,1145 - 1340,2,0,43.49
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,Naods W,1425,2,2,75
Super built-up  Area,Ready To Move,3 BHK,Rasta Peth,GMown E,1500,2,1,64.5
Built-up  Area,Ready To Move,2 BHK,Raviwar Peth,GMown E,1060,2,1,60
Built-up  Area,Ready To Move,3 BHK,Sadashiv Peth,Sancyra,1470,2,2,70
Super built-up  Area,Ready To Move,6 BHK,Sahakar Nagar,,1300,6,0,99
Super built-up  Area,Ready To Move,1 BHK,Salunke Vihar,Jae 1hu,450,1,1,11
Super built-up  Area,18-Apr,2 BHK,Sasson Road,Prarkun,1152,2,1,64.5
Super built-up  Area,Ready To Move,3 BHK,Satara Road,GMown E,1350,2,1,56
Super built-up  Area,Ready To Move,3 BHK,Senapati Bapat Road,Srshq T,1550,3,3,65
Plot  Area,Ready To Move,3 Bedroom,Shaniwar Peth,,1500,3,2,100
Plot  Area,Ready To Move,5 Bedroom,Shivaji Nagar,,600,3,2,85
Plot  Area,Ready To Move,1 Bedroom,Shukrawar Peth,,400,1,0,14
Super built-up  Area,Ready To Move,1 BHK,Sinhagad Road,Utntspa,705,1,2,67
Built-up  Area,Ready To Move,2 BHK,Somwar Peth,GMown E,770,1,1,36
Super built-up  Area,Ready To Move,2 BHK,Swargate,Aniona ,1242,2,3,51
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,Goateds,1700,3,2,155
Super built-up  Area,Ready To Move,3 BHK,Uruli Devachi,Soitya ,2144,3,2,145
Super built-up  Area,21-Jun,3 BHK,Vadgaon Budruk,Saahaat,1704,3,2,110
Super built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,GMown E,1070,2,1,52
Plot  Area,Ready To Move,3 Bedroom,Viman Nagar,,1846,3,2,300
Super built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,,1340,2,2,55.7
Built-up  Area,Ready To Move,2 BHK,Wagholi,GMown E,1025,2,1,46
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,MCvarar,1015 - 1540,2,0,56.8
Super built-up  Area,Ready To Move,2 BHK,Wanowrie,VRave E,1200,2,2,52
Built-up  Area,18-Dec,4 Bedroom,Warje,,2250,4,1,110
Super built-up  Area,Ready To Move,3 BHK,Yerawada,MaidoPl,1550,2,3,80
Plot  Area,Ready To Move,4 Bedroom,Alandi Road,,1200,5,,325
Plot  Area,Ready To Move,7 Bedroom,Ambegaon Budruk,,1800,7,1,250
Super built-up  Area,Ready To Move,2 BHK,Anandnagar,Aiitya ,1200,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Aundh,PuziaVe,1327,2,2,98
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,,1186,2,2,58
Built-up  Area,Ready To Move,3 Bedroom,Balaji Nagar,,1783,3,1,115
Super built-up  Area,Ready To Move,3 BHK,Baner,NRosete,1400,3,2,56
Super built-up  Area,Ready To Move,2 BHK,Baner road,,980,2,1,48
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,,1285,2,2,82
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,,912,2,1,70
Built-up  Area,Ready To Move,2 BHK,Bibvewadi,Sancya ,1225,2,2,47.6
Super built-up  Area,Ready To Move,2 BHK,Bopodi,,1075,2,1,53
Built-up  Area,Ready To Move,3 BHK,Budhwar Peth,MSingco,1260,2,2,54
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,Pyikad ,1282,2,2,48.7
Super built-up  Area,Ready To Move,3 BHK,Camp,CaIRSCr,1909,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,Prcesvy,1359,2,1,87
Built-up  Area,Ready To Move,2 BHK,Dapodi,,1207,2,2,43.5
Plot  Area,Ready To Move,4 Bedroom,Deccan Gymkhana,,1736,6,0,190
Super built-up  Area,20-May,4 BHK,Dehu Road,,2850,4,1,428
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,Emstael,1595,3,2,65
Built-up  Area,18-Jun,3 BHK,Dhayari Phata,,1798,3,2,89
Super built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,SNdri N,1475,3,2,78.29
Super built-up  Area,Ready To Move,3 BHK,Erandwane,HodhiSa,1580,3,3,100
Super built-up  Area,Ready To Move,2 BHK,Fatima Nagar,Syonyph,1295,2,1,65
Built-up  Area,Ready To Move,6 Bedroom,Fergusson College Road,,3600,6,0,141
Super built-up  Area,Ready To Move,1 BHK,Ganesh Peth,Itvir M,589,1,1,27
Super built-up  Area,Ready To Move,3 BHK,Ganeshkhind,,1415,3,3,78
Super built-up  Area,18-Dec,3 BHK,Ghorpade Peth,Klark L,1787,3,2,98.29
Super built-up  Area,Ready To Move,3 BHK,Ghorpadi,Klark L,1787,3,2,125
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,Piityra,1475,2,3,90
Built-up  Area,Ready To Move,4 BHK,Gultekdi,,2000,4,1,75.5
Super built-up  Area,19-Mar,2 BHK,Guruwar peth,AsastDe,984,2,1,44.28
Super built-up  Area,19-Dec,3 BHK,Hadapsar,Jurdsig,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,MacleK ,2405,4,2,260
Built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Brnia G,1080,2,2,72
Plot  Area,Ready To Move,2 Bedroom,Jangali Maharaj Road,,1500,2,1,115
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,,1900,3,2,119
Super built-up  Area,19-Aug,2 BHK,Karve Nagar,,805,2,1,22.14
Super built-up  Area,Ready To Move,2 BHK,Karve Road,PrityTr,1153,2,2,56.4
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,AlEcone,1148,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Katraj,Laowsba,1110,2,2,55
Built-up  Area,Ready To Move,2 BHK,Khadaki,Saave R,1100,2,2,42
Super built-up  Area,Ready To Move,2 BHK,Khadki,Anave S,1290,2,2,110
Super built-up  Area,Ready To Move,3 BHK,Kharadi,,1500,2,1,65
Super built-up  Area,18-Apr,2 BHK,Kondhwa,,1080,2,2,39
Super built-up  Area,21-Jun,3 BHK,Kondhwa Budruk,Saityat,1933,3,1,129
Built-up  Area,Ready To Move,5 Bedroom,Kondhwa Khurd,,3500,5,2,150
Built-up  Area,Ready To Move,2 BHK,Koregaon Park,,1060,2,2,60
Super built-up  Area,18-Aug,1 BHK,Kothrud,SunceEs,645,1,1,16.45
Plot  Area,Ready To Move,8 Bedroom,Law College Road,,2600,8,2,180
Super built-up  Area,18-Sep,1 BHK,Laxmi Road,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,3 BHK,Lulla Nagar,SJcerpe,1644,3,3,84
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,Supams ,1285,2,3,72.5
Plot  Area,Ready To Move,3 Bedroom,Mangalwar peth,,1200,3,1,90
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,CoapeSo,910,2,1,40
Super built-up  Area,Ready To Move,3 BHK,Market yard,Bisic C,1577,3,1,70
Plot  Area,17-May,3 Bedroom,Model colony,Sreat R,4050,3,2,280
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,Inntsa ,2420,3,2,185
Super built-up  Area,Ready To Move,2 BHK,Mundhawa,KHityry,800,1,1,20
Built-up  Area,Ready To Move,2 BHK,Nagar Road,,1060,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,BriumMi,1270,2,2,93
Super built-up  Area,18-Jun,2 BHK,Narayan Peth,,900,2,2,22.5
Built-up  Area,Ready To Move,2 Bedroom,Narayangaon,,1280,2,1,69
Plot  Area,Ready To Move,4 Bedroom,Navi Peth,,1200,2,0,95
Built-up  Area,Ready To Move,2 BHK,Padmavati,,1025,2,2,36
Super built-up  Area,17-Jun,2 BHK,Parvati Darshan,Prarkun,1108,2,1,63
Plot  Area,Ready To Move,5 Bedroom,Pashan,,1200,5,,170
Super built-up  Area,Ready To Move,3 BHK,Paud Road,Calyxy ,3045,3,2,170
Plot  Area,Ready To Move,4 Bedroom,Pirangut,Thessrm,2900,3,2,300
Super built-up  Area,Ready To Move,3 BHK,Prabhat Road,JJortom,1500,3,2,75.5
Super built-up  Area,Ready To Move,2 BHK,Pune Railway Station,GrrvaGr,1295,2,2,43.9
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,PrityTr,1162,2,1,59.9
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Usquaya,1035,2,2,49.2
Built-up  Area,Ready To Move,4 Bedroom,Sadashiv Peth,Natic T,1600,4,0,52.8
Super built-up  Area,Ready To Move,3 BHK,Sahakar Nagar,,1464,3,2,46
Super built-up  Area,18-Oct,3 BHK,Salunke Vihar,DSapeSk,1866,2,2,61.58
Super built-up  Area,Ready To Move,2 BHK,Sasson Road,Jahtsa ,700,1,1,26
Super built-up  Area,Ready To Move,3 BHK,Satara Road,Prillot,1804,3,2,120
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,913,2,1,32
Super built-up  Area,21-Dec,3 BHK,Shaniwar Peth,Sodgere,1868,3,2,131
Built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,,883,2,1,45
Plot  Area,Ready To Move,2 Bedroom,Shukrawar Peth,,900,2,1,110
Super built-up  Area,Ready To Move,3 BHK,Sinhagad Road,,1664,2,3,73.95
Super built-up  Area,Ready To Move,3 BHK,Somwar Peth,SoitaCa,2026,3,2,132
Super built-up  Area,Ready To Move,2 BHK,Swargate,Soestin,1210,2,1,80.9
Plot  Area,Ready To Move,4 Bedroom,Tilak Road,Sreat R,4111,4,2,250
Super built-up  Area,Ready To Move,3 BHK,Uruli Devachi,Alestrb,1762,3,3,91.45
Super built-up  Area,Ready To Move,3 BHK,Vadgaon Budruk,DLhtsen,1252,3,3,55
Built-up  Area,Ready To Move,2 BHK,Wadgaon Sheri,Mauner ,861,2,1,34.5
Built-up  Area,Ready To Move,3 BHK,Viman Nagar,Brnia G,1420,2,1,100
Plot  Area,Ready To Move,6 Bedroom,Vishrant Wadi,,1450,6,0,250
Built-up  Area,Ready To Move,3 BHK,Wagholi,GaicaVe,1490,3,1,78.8
Super built-up  Area,Ready To Move,3 BHK,Wakadewadi,,1075,2,1,46
Super built-up  Area,18-Aug,3 BHK,Wanowrie,Saesttt,1425,2,2,94
Built-up  Area,Ready To Move,2 BHK,Warje,Nae 2El,1200,2,1,40
Super built-up  Area,Ready To Move,3 BHK,Yerawada,,1280,2,2,56
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,Bhinglv,1084,2,2,50
Super built-up  Area,18-Jul,2 BHK,Ambegaon Budruk,SunceEs,1015,2,2,25.88
Super built-up  Area,21-May,2 BHK,Anandnagar,GolusLi,1017,2,1,51.25
Super built-up  Area,Ready To Move,2 BHK,Aundh,,1027,2,2,44
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Coush W,1069,2,2,45
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,Prersis,1349,2,1,98.2
Super built-up  Area,Ready To Move,2 BHK,Baner,NaensGa,1005,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Baner road,Arzzo P,1417,2,3,75
Plot  Area,18-Jan,3 Bedroom,Bhandarkar Road,,1475,3,1,98
Carpet  Area,Ready To Move,2 BHK,Bhavani Peth,SMikaay,950,2,2,47
Super built-up  Area,Ready To Move,4 BHK,Bibvewadi,Prave E,2000,4,0,120
Plot  Area,Ready To Move,3 Bedroom,Bopodi,,880,3,1,140
Super built-up  Area,Ready To Move,4 BHK,Budhwar Peth,Ahriaup,1863,3,2,104
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,Priewhi,1010,2,1,29.5
Super built-up  Area,Ready To Move,3 BHK,Camp,Shodsth,1425,2,1,70
Super built-up  Area,Ready To Move,3 BHK,Chandan Nagar,Swadeh ,1450,3,0,100
Super built-up  Area,Ready To Move,3 BHK,Dapodi,Somumys,1847,3,2,105
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,Soran U,1100,2,3,45
Super built-up  Area,20-Dec,1 BHK,Dehu Road,PrarePa,525,1,1,26
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,Puestig,1665,3,2,95
Super built-up  Area,Ready To Move,4 BHK,Dhayari Phata,Prntsrt,1664,4,3,65
Super built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,Maerar ,1850,3,3,150
Super built-up  Area,Ready To Move,2 BHK,Erandwane,Vaesh T,1438,2,3,100
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,MaisePa,1560,3,3,115
Super built-up  Area,18-Apr,2 BHK,Fergusson College Road,,1350,2,1,55.55
Super built-up  Area,Ready To Move,3 BHK,Ganesh Peth,JRrnauv,1550,3,3,67
Super built-up  Area,18-Apr,2 BHK,Ganeshkhind,,1140,2,2,46.5
Plot  Area,Ready To Move,5 Bedroom,Ghorpade Peth,,1200,5,2,180
Super built-up  Area,18-Dec,2 BHK,Ghorpadi,,850,2,2,27
Super built-up  Area,Ready To Move,2 BHK,Gokhale Nagar,Gotis A,1280,2,2,75
Built-up  Area,Ready To Move,2 BHK,Gultekdi,,1170,2,2,52
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,Puodse ,1113,2,1,51
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,Mileeou,1385,2,1,83.09
Super built-up  Area,18-Apr,2 BHK,Hadapsar Industrial Estate,Prarkun,1128,2,1,65
Plot  Area,Ready To Move,2 Bedroom,Hingne Khurd,,1200,2,2,128
